Year,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 FRH04: Morbihan,"Euro, Millions",,13 191.9,13 670.6,13 940.3,14 837.2,15 472.4,16 207.4,16 879,16 909.1,16 347.4,16 360.7,17 226.7,17 510.8,17 739.9,18 018.3,18 529.8,18 934.5,19 519.6,20 007.9,20 678.1,20 297.9
 FRI31: Charente,"Euro, Millions",,7 650.5,7 949.49,8 287.39,8 443.69,8 417.27,8 619.63,9 166.82,9 099.09,8 680.22,8 753.9,9 189.68,9 537.67,9 568.61,9 532.44,9 950.19,9 989.58,10 244.3,10 569.5,11 038,10 580.4
 FRI32: Charente-Maritime,"Euro, Millions",,10 590.4,11 033.1,11 237.8,11 826.4,12 269.8,12 964.4,13 733.4,14 065.8,13 653.1,14 272.5,14 736,14 811,14 861.4,15 379,15 497.7,15 809.6,16 272.3,16 867.7,17 323.7,16 887.8
 FRI33: Deux-Sèvres,"Euro, Millions",,7 471.94,7 928.98,8 133.66,8 675.91,8 872.83,9 276.57,9 784.3,9 347.03,9 351.79,9 439.4,9 905.28,10 159.4,10 375.5,10 610.7,10 584.4,10 507,10 765.2,11 155.7,11 484,11 341.1
 FRI34: Vienne,"Euro, Millions",,8 300.31,8 572.39,8 959.98,9 354.9,9 620.12,9 942.1,10 439.2,10 869.1,10 756.6,10 768,11 243.7,11 680.2,11 796.3,12 019.4,12 034.5,12 080.8,12 465.9,12 605.5,12 956.1,12 173
 FRI11: Dordogne,"Euro, Millions",,6 635.88,6 996.76,7 068.08,7 430.09,7 597.34,7 984.82,8 370.99,8 713.72,8 605.49,8 574.4,8 856.56,8 852.2,8 949.88,9 143.2,9 257.14,9 287.03,9 444.33,9 585.04,9 711.35,9 414.94
 FRI12: Gironde,"Euro, Millions",,33 963.1,34 762.5,35 776.9,37 319.1,38 797.1,41 219.8,42 979,42 839.9,42 965.2,44 945.3,46 679.7,47 704.6,47 232.9,48 468.8,50 271.2,52 150.9,54 216.7,56 713.9,58 304,55 887.1
 FRI13: Landes,"Euro, Millions",,6 974.36,7 423.64,7 523.99,7 814.33,8 189.91,8 577.48,9 019.59,8 751.89,8 660.54,8 657.06,9 247.56,9 542.81,9 600.52,9 789.67,9 973.67,10 010.6,10 185.2,10 547.3,10 925.2,10 424.1
 FRI14: Lot-et-Garonne,"Euro, Millions",,6 012.86,6 022.7,6 323.54,6 514.55,6 724.65,6 973.32,7 294.19,7 442.67,7 339.39,7 254.47,7 765.4,7 722.6,7 760.25,8 052.87,8 026.05,8 261.96,8 337.66,8 490.58,8 739.77,8 380.33
 FRI15: Pyrénées-Atlantiques,"Euro, Millions",,13 745.2,14 858.8,15 057.5,15 457.2,16 388.6,17 506.3,18 306.2,18 763.8,18 172.4,18 786.1,19 525.7,19 481.7,19 981.9,20 046,20 362.5,20 532.6,20 510.4,20 824.7,21 857,20 690.7
 FRI21: Corrèze,"Euro, Millions",,4 586.05,4 889.43,5 076.65,5 194.3,5 500.51,5 785.67,6 012.81,5 929.58,5 810.5,5 711.81,5 840.32,5 971.36,5 914.96,5 996.95,6 124.25,6 061.9,6 172.89,6 246.62,6 369.26,6 115.33
 FRI22: Creuse,"Euro, Millions",,1 944.57,2 107.98,2 104.22,2 147.66,2 228.38,2 336.39,2 428.77,2 319.45,2 302.71,2 233.65,2 264.13,2 239.18,2 300.07,2 336.19,2 390.55,2 401.42,2 397.89,2 380.04,2 429.89,2 351.47
 FRI23: Haute-Vienne,"Euro, Millions",,7 748.61,7 975.48,8 125.42,8 242.02,8 548.46,8 824.42,9 174.11,9 342.54,9 091.34,8 888.77,9 163.67,9 139.03,9 524.18,9 676.47,9 796.8,9 680.04,10 039,10 180.5,10 866,10 453.4
 FRJ21: Ariège,"Euro, Millions",,2 424.59,2 456.37,2 546.26,2 718.89,2 863.75,2 948.45,3 048.51,3 044.82,2 922.18,2 855.51,2 957.78,2 950.08,3 050.68,3 095.16,3 152.65,3 205.2,3 308.88,3 333.02,3 444.41,3 261.1
 FRJ22: Aveyron,"Euro, Millions",,5 089.66,5 312.79,5 404.48,5 762.31,5 999.8,6 216.37,6 393.08,6 579.28,6 312.15,6 177.86,6 400.36,6 363.62,6 396.46,6 639.86,6 828.68,7 076.1,7 137.28,7 222.06,7 389.02,7 181.67
 FRJ23: Haute-Garonne,"Euro, Millions",,29 967.2,30 963.4,31 892.9,33 148.3,35 540.6,39 510.7,39 801.6,41 712,41 831.9,42 651.6,45 016.7,47 575.4,49 252.8,50 993.9,52 842.4,54 218.1,55 427.8,58 371.5,59 782.8,54 174.2
 FRJ24: Gers,"Euro, Millions",,3 060.35,3 157.26,3 294.67,3 477.62,3 485.24,3 544.38,3 707.53,3 728.54,3 618.61,3 759.15,3 840.9,4 037.92,3 901.12,3 997.97,4 065.14,4 114.95,4 223.47,4 361.84,4 414.19,4 283.23
 FRJ25: Lot,"Euro, Millions",,2 936.31,3 114.54,3 145.26,3 322.67,3 509.34,3 690.31,3 807.56,3 800,3 716.62,3 697.32,3 868.39,3 876.79,3 925.91,4 058.47,4 204.16,4 373.7,4 350.71,4 423.95,4 506.25,4 283.47
 FRJ26: Hautes-Pyrénées,"Euro, Millions",,4 131.79,4 418.74,4 541.62,4 794.28,5 075.52,5 352.72,5 523.77,5 470.14,5 331.31,5 166.33,5 427.36,5 335.14,5 458.84,5 502.95,5 544.91,5 521.45,5 642.67,5 799.36,5 938.25,5 483
 FRJ27: Tarn,"Euro, Millions",,6 236.97,6 506.42,6 695.94,7 126.03,7 348.33,7 670.98,7 941.65,8 081.52,7 982.9,7 920.58,8 184.63,8 291.31,8 238.2,8 434.57,8 481.39,8 616.48,8 969.49,9 086.24,9 368.04,9 244.99
 FRJ28: Tarn-et-Garonne,"Euro, Millions",,3 801.06,4 009.07,4 230.89,4 527.92,4 762.45,4 972.03,5 135,4 984.05,4 957.8,4 837.4,5 051.37,5 170.6,5 262.26,5 348.61,5 478.52,5 523.29,5 775.24,5 920.4,6 150.88,6 040.45
 FRJ11: Aude,"Euro, Millions",,5 459.78,5 756.1,6 287.58,6 639.74,6 909.83,7 228.1,7 590.67,7 194.07,7 168.43,7 089.4,7 473.46,7 515.27,7 681.95,7 731.44,7 868.31,7 973.64,8 179.63,8 321.58,8 581.98,8 292.59
 FRJ12: Gard,"Euro, Millions",,11 945.4,12 439.1,12 897.8,13 543.2,13 892.5,14 744.9,15 407,15 712,15 418,15 586.9,16 175.1,16 335.4,16 326.1,16 612.6,16 966.7,17 151.3,17 727.2,18 002.9,18 799.6,18 293.8
 FRJ13: Hérault,"Euro, Millions",,19 790,20 280.2,21 216,22 436,23 704.3,25 129,26 328,28 039.9,27 888.9,29 114.9,30 119.2,30 479.5,30 417.3,31 006.3,31 578.2,32 504.1,33 240.8,34 523.6,35 699.5,34 757.8
 FRJ14: Lozère,"Euro, Millions",,1 275.19,1 378.42,1 436.29,1 534.7,1 580.82,1 657.95,1 746.95,1 739.87,1 684.56,1 648.42,1 753.29,1 699.66,1 766.46,1 790.55,1 818.75,1 842.46,1 858.79,1 891.05,1 917.23,1 916.79
 FRJ15: Pyrénées-Orientales,"Euro, Millions",,7 266.98,7 538.18,8 068.11,8 400.84,8 659.15,9 214.44,9 695.8,9 899.79,9 687.11,9 721.33,10 236.3,10 243,10 268.5,10 384.5,10 692.2,10 751,11 073.7,11 296.5,11 673.6,11 355.4
 FRK21: Ain,"Euro, Millions",,11 436.8,11 609.5,11 727.1,12 490.2,12 963.9,13 670.1,14 251.6,14 868.4,14 179.9,14 196.9,14 827.6,14 854.9,15 195,15 379,15 686.8,16 174.2,16 318.4,16 783.6,17 300.8,16 726.4
 FRK22: Ardèche,"Euro, Millions",,5 120.64,5 244.37,5 387.26,5 757.15,5 991.02,6 173.91,6 443.22,6 541.58,6 402.83,6 436.97,6 628.93,6 439.15,6 623.41,6 751.96,6 859.67,6 992.49,7 090.19,7 231.6,7 478.38,7 319.02
 FRK23: Drôme,"Euro, Millions",,9 878.43,10 347.6,10 522.7,11 415.4,11 781.5,12 396.6,12 933,13 715,13 443.6,13 598.7,14 363.6,14 882.8,14 988.9,15 212.5,15 607.9,15 687.9,15 869.5,16 316.6,16 976.4,16 366.7
 FRK24: Isère,"Euro, Millions",,27 873.8,28 335.8,29 041,30 797.3,31 700.2,33 577,34 944,35 712.3,34 582.4,36 141.6,37 565.3,37 617.4,37 853.3,38 552.1,38 704.8,39 869.2,40 720.6,42 005.5,43 325.4,41 959.3
 FRK25: Loire,"Euro, Millions",,14 450.3,14 849.6,14 966.2,15 844.5,16 493,17 452.2,18 239.9,19 561.5,18 915,18 508.3,19 630.1,19 615.1,19 620.8,19 870,20 189.2,20 506,20 950.3,21 512.6,22 054,21 411.2
 FRK26: Rhône,"Euro, Millions",,50 974.3,51 679.7,53 218.9,56 568.6,58 574.5,62 604.5,65 102.1,69 676.6,67 200.6,70 663.5,72 777.8,74 738.5,75 409.1,76 975.9,79 732.4,82 169.4,85 531.8,90 271.3,93 101.7,88 612.4
 FRK27: Savoie,"Euro, Millions",,9 727.03,10 285.6,10 674.4,11 336.2,11 881.2,12 584.2,13 186.9,13 185.6,12 678.1,12 670.7,13 520.5,13 553,13 710,13 812.9,14 128.1,14 602.1,15 186.1,15 739.7,16 120.3,15 200.6
 FRK28: Haute-Savoie,"Euro, Millions",,16 548.3,16 605.9,17 366.5,18 497.4,18 864.8,19 834.8,20 778.8,20 430.9,19 342.6,20 153.6,21 586.7,21 434.6,21 975.1,22 374.8,23 192,23 760.9,24 688.6,25 482.1,25 979.2,24 492.9
 FRK11: Allier,"Euro, Millions",,6 795.22,6 973.91,7 004.38,7 308.49,7 401.72,7 570.18,7 969.52,8 054.94,7 598.47,7 601.4,7 848.84,7 848.29,7 909.5,8 074.16,8 297.15,8 129.38,8 339.05,8 277.35,8 440.19,8 278.98
 FRK12: Cantal,"Euro, Millions",,2 518.71,2 647.3,2 726.18,2 877.82,2 925.81,3 063.36,3 215.81,3 226.79,3 129.2,3 103.1,3 274.29,3 297.67,3 386.18,3 317.27,3 350.85,3 341.1,3 470.29,3 493.19,3 547.7,3 481.69
 FRK13: Haute-Loire,"Euro, Millions",,3 676.1,3 789.33,3 914.22,4 127.75,4 280.68,4 477.56,4 708.8,4 780.03,4 610.88,4 511.82,4 635.55,4 633.37,4 713.48,4 839.09,4 880.79,4 983.56,5 166.8,5 212.73,5 358.47,5 288.85
 FRK14: Puy-de-Dôme,"Euro, Millions",,13 703.3,14 126.6,14 579.8,15 210.1,15 759.5,16 325.8,17 113.7,16 848.7,16 578,16 798.5,17 946.3,18 097,18 526.2,18 786.9,19 288.8,19 643.4,20 993,21 882.8,22 611.1,21 311.9
 FRL01: Alpes-de-Haute-Provence,"Euro, Millions",,2 766.85,2 802.6,2 908.97,3 081.19,3 246.24,3 471.3,3 597,3 617.37,3 604.21,3 632.2,3 754.93,3 837.3,3 939.91,3 932.34,3 979.19,3 930.46,4 024.18,4 200.27,4 248.86,4 154.79
 FRL02: Hautes-Alpes,"Euro, Millions",,2 645.59,2 776.3,2 978.32,3 101.94,3 305.24,3 461.06,3 598.11,3 490.82,3 390.8,3 394.87,3 551.37,3 446,3 495.62,3 449.9,3 472.52,3 569.33,3 602.31,3 708.94,3 809.98,3 756.22
 FRL03: Alpes-Maritimes,"Euro, Millions",,26 500,27 202.6,28 210.5,29 773.3,31 015,32 686.5,33 959.6,33 549.3,32 751.9,34 106.8,34 920.4,35 457.4,35 545,35 586.8,36 380.2,37 722.1,38 447.7,39 212.1,40 179.3,36 026.2
 FRL04: Bouches-du-Rhône,"Euro, Millions",,44 966.1,45 703.1,47 368.5,50 555.9,53 153.7,55 945.7,57 734.4,60 619.3,59 754,63 820.9,64 325.1,67 490.9,66 554.3,68 095.9,69 471.3,69 299.9,71 599.9,73 527.8,75 596.2,73 878.7
 FRL05: Var,"Euro, Millions",,18 151.3,19 068.4,19 944.6,21 064.2,22 310,23 348.3,24 297.9,23 283.7,22 972.4,23 544.3,24 275.8,24 589.9,24 516.7,24 450.1,25 048.2,25 679.3,26 442.5,27 443.7,28 114.6,27 056.5
 FRL06: Vaucluse,"Euro, Millions",,10 778.4,11 388.5,11 622.1,12 165.5,12 550.9,13 214.9,13 698.9,14 630.3,14 405.5,14 561.1,15 119.5,15 362,15 827.2,16 488.9,16 676.1,16 943.3,17 530.7,17 896,18 432,17 880.2
 FRM01: Corse-du-Sud,"Euro, Millions",,2 638.82,2 717.5,2 824.19,3 007.22,3 172.98,3 434,3 541.54,3 725.12,3 835.31,3 893.52,4 153.6,4 149.07,4 285.79,4 312.78,4 390.82,4 487.76,4 670.19,4 961.35,5 103.64,4 783.9
 FRM02: Haute-Corse,"Euro, Millions",,2 393.86,2 466.94,2 602.1,2 705.25,2 898.84,3 074.85,3 131.24,3 550.72,3 651.02,3 695.71,3 831.11,3 942.32,3 931.54,4 030.24,4 226.62,4 248.93,4 387.51,4 434.03,4 539.3,4 300.08
 FRY10: Guadeloupe,"Euro, Millions",,5 886.66,6 133.84,6 589.15,6 871.73,7 353.14,7 780.96,8 008.86,8 423.78,8 016.72,8 365.91,8 635.89,8 776.09,8 812.19,9 002.82,9 166.78,9 332.31,9 381.53,9 566.8,9 850.69,9 219.3
 FRY20: Martinique,"Euro, Millions",,5 699.78,5 914.98,6 244.84,6 596.81,6 973.94,7 340.12,7 588.5,7 917.72,7 618.89,7 900.87,8 142.88,8 247.49,8 274.72,8 506.13,8 672.5,8 650.38,8 786.29,8 896.26,8 872.7,8 788.07
 FRY30: French Guiana,"Euro, Millions",,2 270.45,2 436.66,2 403.19,2 553.87,2 685.85,2 906.42,2 979.8,3 133.33,3 249.2,3 384.58,3 572.14,3 782.62,3 856,3 964.46,3 993.34,4 131.28,4 127.28,4 352.96,4 430.51,4 424.65
 FRY40: La Réunion,"Euro, Millions",,10 284.8,10 993.3,11 634.2,12 442,13 282.1,14 178.6,15 172,15 850.7,15 259.4,15 366.2,16 072.6,16 381.3,16 528.2,16 973.3,17 554.7,18 065,18 555.4,18 822.2,19 329.7,18 973
 FRY50: Mayotte,"Euro, Millions",,601.92,637.16,721.67,821.05,919.9,1 060.69,1 141.89,1 334.3,1 330.12,1 431.97,1 495.56,1 582.53,1 701.94,1 854.92,2 079.41,2 208.17,2 419.82,2 450.77,2 603.72,2 711.64